Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=43549, destination-ip=202.168.254.8, destination-port=161, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=37519, destination-ip=172.21.153.194, destination-port=161, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=35217, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=44805, destination-ip=202.168.254.21, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=47488, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=36529, destination-ip=172.21.171.2, destination-port=161, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=58285, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=6, source-ip=36.75.19.106, source-port=56461, destination-ip=172.21.207.117, destination-port=445, time=2020/6/20 21:59:09, source-zone=untrust, destination-zone=trust, application-name=, rule-name=default.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=33693, destination-ip=172.21.171.3, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=47.88.20.7, source-port=33637, destination-ip=115.127.58.100, destination-port=53, time=2020/6/20 21:59:09, source-zone=untrust, destination-zone=local, application-name=, rule-name=default.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=60667, destination-ip=172.21.186.50, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=47.88.20.7, source-port=50112, destination-ip=115.127.58.100, destination-port=53, time=2020/6/20 21:59:09, source-zone=untrust, destination-zone=local, application-name=, rule-name=default.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=172.21.193.10, source-port=50608, destination-ip=8.8.8.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=local, destination-zone=untrust, application-name=, rule-name=default.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=47.88.20.7, source-port=38342, destination-ip=115.127.58.100, destination-port=53, time=2020/6/20 21:59:09, source-zone=untrust, destination-zone=local, application-name=, rule-name=default.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=47.88.20.7, source-port=55417, destination-ip=115.127.58.100, destination-port=53, time=2020/6/20 21:59:09, source-zone=untrust, destination-zone=local, application-name=, rule-name=default.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=47.88.20.7, source-port=58545, destination-ip=115.127.58.100, destination-port=53, time=2020/6/20 21:59:09, source-zone=untrust, destination-zone=local, application-name=, rule-name=default.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=47.88.20.7, source-port=41545, destination-ip=115.127.58.100, destination-port=53, time=2020/6/20 21:59:09, source-zone=untrust, destination-zone=local, application-name=, rule-name=default.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=1, source-ip=202.168.232.9, source-port=22925, destination-ip=172.21.72.82, destination-port=2048, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=52590, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=57006, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=53170, destination-ip=202.168.255.44, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=42554, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=35682, destination-ip=172.21.171.5, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=1, source-ip=202.168.232.9, source-port=22927, destination-ip=172.21.27.42, destination-port=2048, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=46270, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=38704, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=60309, destination-ip=172.21.171.2, destination-port=161, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=34856, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=40988, destination-ip=202.168.255.254, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=55356, destination-ip=202.168.254.21, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=55123, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=52453, destination-ip=202.168.254.8, destination-port=161, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=56583, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=55819, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
